variableName,default,id,css,xpath,xpath1,xpath2,xpath3,xpath4,name,linkText,partialLinkText,className
lookupCodeInput,xpath,,,//td[@title='Lookup Code']//input,"//table[contains(@summary,'This table lists the standard lookup codes belonging to the')]/tbody/tr/td[3]//input",//label[text()='Lookup Code']/preceding-sibling::input,,,,,,
displaySequenceInput,xpath1,,,(//td[@title='Display Sequence']//input)[1],"(//table[contains(@summary,'This table lists the standard lookup codes belonging to the')]/tbody/tr/td[4]//input)[1]",(//label[text()='Display Sequence']/preceding-sibling::input)[1],,,,,,
startDateIcon,xpath,,,(//label[text()='Start Date']/following-sibling::a)[1],(//span[text()='Press down arrow to access Calendar']/following-sibling::a)[1],,,,,,,
calendar,xpath,,,//div[@id='__af_Z_window' and @class='AFZOrderLayer']/div,//div[@id='__af_Z_maskingframe']/following-sibling::div/div,//div[@id='__af_Z_tooltip']/preceding-sibling::div/div,,,,,,
endDateIcon,xpath,,,(//label[text()='End Date']/following-sibling::a)[1],(//span[text()='Press down arrow to access Calendar']/following-sibling::a)[2],,,,,,,
meaningInput,xpath,,,(//td[@title='Meaning']//input)[1],(//label[text()='Meaning']/preceding-sibling::input)[2],(//label[text()='Meaning']/preceding-sibling::input)[2],(//td[@title='Meaning'])[1]//input,,,,,
saveAndCloseButton,xpath,,,//button[@accesskey='S'],//button[text()='ave and Close'],//button[text()='Save']/parent::td/following-sibling::td/button,//button[text()='Save']/parent::td/following-sibling::td//span[text()='S'],,,,,
lookUpCodeRow,xpath,,,"//table[contains(@summary,'This table lists the standard lookup codes belonging to the')]/tbody/tr[last()]",//span[text()='Lookup Code']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr[last()],//span[text()='Display Sequence']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr[last()],//span[text()='Enabled']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr[last()],//span[text()='Start Date']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr[last()],,,,
deleteIcon,xpath,,,"(//img[contains(@id,':delete::icon')])[2]",(//img[@title='Delete'])[2],(//img[@alt='Delete'])[2],"(//img[contains(@id,':delete::icon')])[2]",(//div[@title='Delete'])[2]//img,,,,
yesButton,xpath,,,//button[@accesskey='Y'],//button[text()='es'],,,,,,,
